"Token Address","Token Name","Token Creator","Platform","Buy Amount BNB","Sell Amount BNB","Token Amount","Buy Price BNB","Buy Price USD","Sell Price BNB","Sell Price USD","Max Price Reached BNB","Max Price Reached USD","Profit/Loss BNB","Profit/Loss USD","Price Change %","Max Price Change %","Time to Max Price (seconds)","Buy Time","Sell Time","Max Price Time","Buy Tx Hash","Sell Tx Hash","User ID","Wallet Address"
"0xf104a0d65506571b7a1a084f8afe165e3b8d4444","Unknown","Unknown","four.meme","0.00800000","","863991.27","0.00000001","0.0000","","","0.00000001","0.0000","","","0.00","0.00","","2025-10-06T09:11:23.960Z","","","","","7382909314","0x50d1C20D42e4535123Ff3a8889Cbc2a7A1397F45"
"0xf104a0d65506571b7a1a084f8afe165e3b8d4444","Unknown","Unknown","four.meme","0.00800000","","863991.27","0.00000001","0.0000","","","0.00000001","0.0000","","","0.00","0.00","","2025-10-06T09:11:23.961Z","","","","","7382909314","0x50d1C20D42e4535123Ff3a8889Cbc2a7A1397F45"
"0xf104a0d65506571b7a1a084f8afe165e3b8d4444","Unknown","Unknown","","","","","","","","","0.00000001","0.0000","","","","0.53","3","","","2025-10-06T09:11:27.256Z","","","7382909314","0x50d1c20d42e4535123ff3a8889cbc2a7a1397f45"
"0xf104a0d65506571b7a1a084f8afe165e3b8d4444","Unknown","Unknown","","","","","","","","","0.00000001","0.0000","","","","0.78","7","","","2025-10-06T09:11:30.729Z","","","7382909314","0x50d1c20d42e4535123ff3a8889cbc2a7a1397f45"
"0xf104a0d65506571b7a1a084f8afe165e3b8d4444","Unknown","Unknown","","","","","","","","","0.00000001","0.0000","","","","1.48","24","","","2025-10-06T09:11:47.934Z","","","7382909314","0x50d1c20d42e4535123ff3a8889cbc2a7a1397f45"
"0x00b74d85b4d0c3d6e2e6c0fe6e3c40de06964444","Unknown","Unknown","four.meme","0.00800000","","90702.95","0.00000009","0.0001","","","0.00000009","0.0001","","","0.00","0.00","","2025-10-06T09:13:45.341Z","","","","","7382909314","0x50d1C20D42e4535123Ff3a8889Cbc2a7A1397F45"
"0x00b74d85b4d0c3d6e2e6c0fe6e3c40de06964444","Unknown","Unknown","four.meme","0.00800000","","90702.95","0.00000009","0.0001","","","0.00000009","0.0001","","","0.00","0.00","","2025-10-06T09:13:45.342Z","","","","","7382909314","0x50d1C20D42e4535123Ff3a8889Cbc2a7A1397F45"
"0x00b74d85b4d0c3d6e2e6c0fe6e3c40de06964444","Unknown","Unknown","four.meme","0.00800000","","90702.95","0.00000009","0.0001","","","0.00000009","0.0001","","","0.00","0.00","","2025-10-06T09:13:45.949Z","","","","","7382909314","0x50d1C20D42e4535123Ff3a8889Cbc2a7A1397F45"
"0x00b74d85b4d0c3d6e2e6c0fe6e3c40de06964444","Unknown","Unknown","four.meme","0.00800000","","90702.95","0.00000009","0.0001","","","0.00000009","0.0001","","","0.00","0.00","","2025-10-06T09:13:45.949Z","","","","","7382909314","0x50d1C20D42e4535123Ff3a8889Cbc2a7A1397F45"
"0xb558f461c03be4c54143bd0e682d9136d2f54444","Unknown","Unknown","four.meme","0.00800000","","1089159.81","0.00000001","0.0000","","","0.00000001","0.0000","","","0.00","0.00","","2025-10-06T09:18:44.432Z","","","","","7382909314","0x50d1C20D42e4535123Ff3a8889Cbc2a7A1397F45"
